Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,order
1,5.1,3.5,1.4,0.2,Virginica,1
2,4.9,3,1.4,0.2,Virginica,2
3,4.7,,1.3,0.2,Virginica,3
4,4.6,3.1,1.5,0.2,Virginica,1
5,5,3.6,1.4,0.2,Virginica,2
6,0,,,0.4,Setosa,3
7,4.6,3.4,1.4,0.3,Setosa,1
8,5,3.4,1.5,0.2,Setosa,2
9,4.4,2.9,1.4,0.2,Setosa,3
10,4.9,3.1,1.5,0.1,Setosa,4
10,4.9,3.1,1.5,0.1,Setosa,4
11,5.4,3.7,1.5,0.2,verseta,6
12,,3.4,,0.2,verseta,1
13,4.8,3,1.4,0.1,verseta,2
14,4.3,3,1.1,0.1,verseta,3
15,5.8,4,1.2,0.2,verseta,1
15,5.8,4,1.2,0.2,verseta,1
